id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
5IMJX,Cortez-Montezuma County Airport,US,CO,,KCEZ,37.3071,-108.6264,1803.0,America/Denver,2022-04-23,2023-02-20,2022-04-24,2022-04-25,,
69002,Hunter Ligget / Hunter-Liggett,US,CA,69002,KHGT,35.9935,-121.2367,310.0,America/Los_Angeles,1964-07-15,1997-04-01,1964-07-15,1971-07-31,1964-01-01,1971-01-01
69007,Fort Ord / Blanco,US,CA,69007,KOAR,36.6815,-121.7617,42.0,America/Los_Angeles,1973-01-02,2023-02-20,1983-03-31,2022-04-25,2020-01-01,2022-01-01
69014,Irvine,US,CA,69014,KNZJ,33.6667,-117.7167,119.0,America/Los_Angeles,1989-01-01,1999-06-06,1945-03-01,1998-12-10,1945-01-01,1998-01-01
69015,Twentynine Palms / Sunfair Heights,US,CA,69015,KNXP,34.2962,-116.1622,625.0,America/Los_Angeles,1990-01-02,2023-02-20,1945-05-01,2022-04-24,1945-01-01,2021-01-01
69019,Abilene / Tye,US,TX,69019,KDYS,32.4198,-99.8554,545.0,America/Chicago,1943-12-01,2023-02-20,1943-12-02,2022-04-25,1944-01-01,1996-01-01
69029,Port Aransas / Mustang Beach,US,TX,69029,KRAS,27.8118,-97.0888,2.0,America/Indiana/Tell_City,2006-02-10,2023-02-20,2009-10-10,2022-04-25,2015-01-01,2022-01-01
72004,Stevenson Ranch,US,CA,72004,K3A6,34.37,-118.57,427.0,America/Los_Angeles,2004-02-24,2011-09-04,2004-02-26,2010-08-28,,
72011,Llano,US,TX,72011,KAQO,30.7845,-98.6603,336.0,America/Chicago,2005-01-05,2023-02-20,2005-07-08,2022-04-25,2015-01-01,2022-01-01
72019,Munsing Lakeshore,US,MI,72019,KP53,46.4167,-86.65,187.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
72034,Frankfort / Elberta,US,MI,72034,KFKS,44.6252,-86.2008,193.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-25,2006-01-01,2022-01-01
72207,Savannah Airport,US,GA,72207,KSAV,32.1167,-81.0333,16.0,America/New_York,1948-01-01,2023-02-20,1948-01-01,2023-02-11,1948-01-01,2022-01-01
