"","Location","Station.Name","State","TimeZone","DayTimeSaving","Latitude","Longitude","Elevation","City"
"1","TAPA","Vc Bird Intl Airport Antigua","AG","A","n",17.117,-61.783,32.808,NA
"2","TKPN","Charlestown/Newcast","AG","A","n",17.2,-62.583,55.774,NA
"3","TRPM","Blackburne/Plymouth","AG","A","n",16.75,-62.167,39.37,NA
"4","PAAK","Atka Airport","AK","K","y",52.217,-174.2,59.055,NA
"5","PAAP","Port Alexander","AK","K","y",56.26,-134.66,3.281,NA
"6","PAAQ","Palmer","AK","K","y",61.61,-149.09,232.94,NA
"7","PABA","Barter Island","AK","K","y",70.14,-143.59,39.042,NA
"8","PABE","Bethel","AK","K","y",60.78,-161.8,125,"Bethel"
"9","PABI","Delta Junction/Allan AAF","AK","K","y",63.97,-145.7,1268.05,NA
"10","PABL","Buckland Airport","AK","K","y",65.99,-161.12,32.808,NA
"11","PABN","Nabesna / Devil Mountain","AK","K","y",62.41,-143,2893.7,NA
"12","PABR","Barrow/Wiley Post","AK","K","y",71.29,-156.77,30.84,"Utqiaġvik (Barrow)"
"13","PABT","Bettles Airport","AK","K","y",66.92,-151.52,644.029,NA
"14","PABV","Birchwood","AK","K","y",61.42,-149.52,98.425,NA
"15","PACD","Cold Bay Airport","AK","K","y",55.21,-162.72,96.129,NA
"16","PACE","Central Airport","AK","K","y",65.5739,-144.781,937,NA
"17","PACM","Scammon Bay Airport","AK","K","y",61.8453,-165.571,0,NA
"18","PACV","Cordova/Merle K","AK","K","y",60.5,-145.5,41.01,"Cordova"
"19","PACZ","Cape Romanzoff Airways Facilities Sector","AK","K","y",61.783,-166.033,403.871,NA
"20","PADE","Deering Airport","AK","K","y",66.08,-162.75,29.528,NA
"21","PADK","Adak Is. NAF","AK","K","y",51.89,-176.65,17.06,NA
"22","PADL","Dillingham Municipal","AK","K","y",59.05,-158.52,95.144,"Dillingham"
"23","PADM","Marshall Don Hunter Sr Airport","AK","K","y",61.8643,-162.026,0,NA
"24","PADQ","Kodiak","AK","K","y",57.76,-152.5,15.092,"Kodiak"
